Date,Actual,Forecast
2021-10-14,222.38754272460935,196.60048365759113
2021-10-18,227.5886077880859,196.4465974259225
2021-10-19,213.19908142089844,196.9767531611877
2021-10-20,213.76254272460935,197.4769082334384
2021-10-21,212.1155242919922,197.75988210331988
2021-10-22,205.09413146972656,197.72178277459926
2021-10-25,202.3202362060547,197.5131904580993
2021-10-26,205.18080139160156,197.97339532635473
2021-10-27,206.69778442382812,198.3923720498393
2021-10-28,195.12547302246097,198.58766551450728
2021-10-29,193.47850036621097,198.4604380977782
2021-11-01,196.64244079589844,198.0277595955531
2021-11-02,195.55889892578125,198.44433117937717
2021-11-03,192.8283538818359,198.84260539823066
2021-11-04,196.3824005126953,199.04371047174192
2021-11-08,199.1996307373047,198.81601659748875
2021-11-09,198.2894592285156,198.83338525347085
2021-11-10,200.10983276367188,198.86247877853594
2021-11-11,199.37298583984375,198.7217703670071
2021-11-12,201.88682556152344,198.31178110912316
2021-11-15,206.39437866210935,197.32067961112767
2021-11-16,204.0972595214844,197.63070653472485
2021-11-17,207.6079559326172,197.95061597728062
2021-11-18,205.8742828369141,198.09309093159032
2021-11-22,200.15310668945312,197.64130696519518
2021-11-23,200.75991821289065,198.12021231725916
2021-11-24,197.37924194335935,198.57492853588752
2021-11-25,200.4998779296875,198.81621271088767
2021-11-26,194.1719512939453,198.737921798209
2021-11-29,192.00485229492188,198.39253771909767
2021-11-30,191.70144653320312,198.7925294618879
2021-12-01,192.35159301757812,199.13904229349907
2021-12-02,195.42886352539065,199.2465042810975
2021-12-03,192.1348571777344,199.01290132388982
2021-12-06,188.8842315673828,198.11788600817619
2021-12-07,191.26805114746097,198.3221550718435
2021-12-08,194.99546813964844,198.47403526630833
2021-12-09,204.05392456054688,198.3918758603835
2021-12-10,204.6607208251953,197.97709850773157
2021-12-13,203.3604736328125,196.6145602243278
2021-12-14,198.1594390869141,196.69337768040504
2021-12-15,194.21530151367188,196.7357693991538
2021-12-16,193.21841430664065,196.55952170782894
2021-12-17,188.92758178710935,196.06487886484234
2021-12-20,184.11659240722656,194.52889990908463
2021-12-21,184.2033233642578,194.5638639642105
2021-12-22,183.76988220214844,194.56493381119034
2021-12-23,188.36415100097656,194.34727368330937
2021-12-24,188.9709014892578,193.8087319933442
2021-12-27,188.5808563232422,192.1082757514241
2021-12-28,190.7479248046875,192.07433902415187
2021-12-29,187.8873748779297,191.99959852059342
2021-12-30,187.23724365234375,191.7004308715733
2021-12-31,189.0142517089844,191.0766809331888
2022-01-03,189.9244384765625,189.1295299910217
2022-01-04,190.9212951660156,189.02997855578667
2022-01-05,191.18136596679688,188.90602865010115
2022-01-06,189.57769775390625,188.5794034897957
2022-01-07,189.3176422119141,187.9554001233302
2022-01-10,193.5651702880859,186.22310996626052
2022-01-11,192.39491271972656,186.2825398600141
2022-01-12,193.08837890625,186.36738820558196
2022-01-13,194.12860107421875,186.30175467470386
2022-01-14,192.9583740234375,185.9922478670523
2022-01-17,194.69207763671875,185.51956784384322
2022-01-18,191.3547210693359,186.09619887411384
2022-01-19,191.00799560546875,186.7396485908413
2022-01-20,189.62103271484375,187.26778571100283
2022-01-21,188.14743041992188,187.57985618518927
2022-01-24,183.59654235839844,189.0510505487548
2022-01-25,185.76361083984375,190.26933284638187
2022-01-27,186.0236663818359,192.65219555273052
2022-01-28,188.62417602539065,193.5130926625831
2022-01-31,190.87796020507812,196.28917636518912
2022-02-01,197.422607421875,197.80183082390354
2022-02-02,201.23667907714844,199.28011567006513
2022-02-03,203.2304229736328,200.52726587299222
2022-02-04,203.10040283203125,201.43098756214007
2022-02-07,199.54635620117188,203.81171878903598
2022-02-08,200.45654296875,205.02642522106478
2022-02-09,199.5030212402344,206.1319554670205
2022-02-10,201.32339477539065,206.93873175801016
2022-02-11,201.49671936035156,207.34167704752662
2022-02-14,194.62350463867188,207.9646669202829
2022-02-15,197.7718963623047,208.5448772558691
2022-02-16,197.55015563964844,209.01071723962542
2022-02-17,197.4614715576172,209.18402040702915
2022-02-18,196.79632568359375,208.97073508239595
2022-02-21,193.33753967285156,207.94807325041555
2022-02-22,190.54391479492188,208.07563018692306
2022-02-23,191.5194549560547,208.1478067507952
2022-02-24,184.9123077392578,207.99096809196516
2022-02-25,189.74571228027344,207.514099474057
2022-02-28,191.4307861328125,206.10786930553002
2022-03-02,190.9429931640625,206.37418736355804
2022-03-03,194.5791778564453,206.3356411181581
2022-03-04,199.9890594482422,206.02616565397415
2022-03-07,199.50128173828125,205.34876784325579
2022-03-08,201.23068237304688,205.77392822388975
2022-03-09,203.3148193359375,206.2172876172164
2022-03-10,205.75372314453125,206.4933311554552
2022-03-11,209.61163330078125,206.49880565861915
2022-03-14,211.96180725097656,206.7157744753447
2022-03-15,210.94192504882812,207.40899982289216
2022-03-16,215.1545257568359,208.1011503656922
2022-03-17,217.1943359375,208.6056179002432
2022-03-21,216.839599609375,209.54702072707002
2022-03-22,221.49563598632812,210.3798713199669
2022-03-23,223.4911193847656,211.200827708886
2022-03-24,226.01869201660156,211.82636035159882
2022-03-25,224.68836975097656,212.1561289070137
2022-03-28,227.9698028564453,213.2327437818071
2022-03-29,225.79698181152344,214.18852203141236
2022-03-30,221.0078582763672,215.13773252108965
2022-03-31,222.29383850097656,215.8969247698845
2022-04-01,224.64404296875,216.36503430058974
2022-04-04,226.55079650878903,217.86550118493224
2022-04-05,230.09828186035156,218.95539420187222
2022-04-06,230.2313232421875,220.0285340122842
2022-04-07,227.6150360107422,220.89684192551036
2022-04-08,237.50363159179688,221.45439624155273
2022-04-11,237.2375640869141,223.05695487165417
2022-04-12,234.843017578125,224.11083591266572
2022-04-13,239.05564880371097,225.10700710288407
2022-04-18,239.54344177246097,227.09103606474727
2022-04-19,231.960693359375,227.81135754231622
2022-04-20,230.1869659423828,228.44067980821544
2022-04-21,230.94078063964844,228.7945796373634
2022-04-22,231.5616149902344,228.77290436913356
2022-04-25,226.3734436035156,228.3373937090994
2022-04-26,229.6548614501953,228.6507086541582
2022-04-27,228.36886596679688,228.8991341801003
2022-04-28,231.5616149902344,228.90806019481425
2022-04-29,230.1869659423828,228.58673804603686
2022-05-02,233.3796844482422,227.60668326349472
2022-05-04,230.3643341064453,228.16293701330338
2022-05-05,232.40411376953125,228.28728285041942
2022-05-06,236.48374938964844,228.16098313961243
2022-05-09,233.20233154296875,228.21704188764326
2022-05-10,230.3643341064453,228.96647146935348
2022-05-11,226.72817993164065,229.78115728614955
2022-05-12,224.2892913818359,230.4781250826718
2022-05-13,229.34445190429688,230.9551978219053
2022-05-16,225.3535614013672,232.87680039335106
2022-05-17,234.75436401367188,234.2212482647721
2022-05-18,236.6167449951172,235.59487115031595
2022-05-19,244.4655609130859,236.80177893610085
2022-05-20,248.32345581054688,237.72778686308817
2022-05-23,243.44566345214844,240.52985446550775
2022-05-24,240.20860290527344,241.9872577638576
2022-05-25,241.84933471679688,243.37590037253884
2022-05-26,242.0762176513672,244.49850406678377
2022-05-27,244.3454132080078,245.24173481506756
2022-05-30,244.20925903320312,246.94625397752836
2022-05-31,245.6615295410156,247.87898183220472
2022-06-01,246.75070190429688,248.68027133088336
2022-06-02,248.24839782714844,249.16517777665484
2022-06-03,247.52227783203125,249.23383848747773
2022-06-06,249.42835998535156,248.83834014445702
2022-06-07,248.61143493652344,249.09491218609102
2022-06-08,243.1654357910156,249.25586756674934
2022-06-09,245.8430633544922,249.1494318592688
2022-06-10,245.20767211914065,248.6876888252381
2022-06-13,240.21546936035156,247.16212437145302
2022-06-14,240.9416351318359,247.21810210231888
2022-06-15,239.0808868408203,247.2724575733682
2022-06-16,236.6302032470703,247.15367878051498
2022-06-17,238.99012756347656,246.77190348460135
2022-06-20,239.71627807617188,245.98935139272476
2022-06-21,244.9807586669922,247.12202812712323
2022-06-22,240.8054962158203,248.30673319271926
2022-06-23,240.98699951171875,249.3599091471322
2022-06-24,241.30471801757812,250.17886350283231
2022-06-27,245.02615356445312,253.03789662142432
2022-06-28,246.75070190429688,254.66619317870885
2022-06-29,248.74761962890625,256.3107297344043
2022-06-30,248.24839782714844,257.7771304681106
2022-07-01,258.0966491699219,258.9532095957468
2022-07-04,264.9495544433594,262.47589004817905
2022-07-05,260.41119384765625,264.17461017021685
