Date,Open,High,Low,Close,Volume,Year,Month,Day,Weekday
2022-05-23,248.32344541567053,248.7225474932745,242.15969192663135,243.44566345214844,21700165,2022,5,23,0
2022-05-24,243.88910581638996,243.88910581638996,239.45475843791016,240.20860290527344,15547968,2022,5,24,1
2022-05-25,242.07105210210193,242.9135619271948,239.8982109000682,241.84933471679688,15288648,2022,5,25,2
2022-05-26,243.4830986605679,243.4830986605679,239.4893460119058,242.0762176513672,18420159,2022,5,26,3
2022-05-27,244.16386765393068,245.7069217636989,240.57855071062588,244.3454132080078,13468067,2022,5,27,4
2022-05-30,245.525395151896,245.9792313721398,242.89315061447488,244.20925903320312,11819102,2022,5,30,0
2022-05-31,244.2092481608987,249.15607382130713,241.80392184068572,245.6615295410156,23208345,2022,5,31,1
2022-06-01,245.66148414549377,248.79296442708403,245.2530482609113,246.75070190429688,14699792,2022,6,1,2
2022-06-02,245.7069262237113,249.11069767472335,243.12005438094948,248.24839782714844,14240994,2022,6,2,3
2022-06-03,249.60991329964276,250.24529506802736,246.5238326388399,247.52227783203125,12487862,2022,6,3,4
2022-06-06,247.2499518042495,250.336032369141,244.79925298799577,249.42835998535156,10925182,2022,6,6,0
2022-06-07,247.976080952872,249.60987999650143,247.11378119653645,248.61143493652344,10828539,2022,6,7,1
2022-06-08,248.65687055228776,249.0653065213312,241.62240929691143,243.1654357910156,14361969,2022,6,8,2
2022-06-09,243.074646046554,246.61459039768684,241.2139287952864,245.8430633544922,9860194,2022,6,9,3
2022-06-10,244.2092270254744,245.97919913242643,243.9369364090022,245.20767211914065,8371061,2022,6,10,4
2022-06-13,241.80389589001564,244.25462218719585,238.71781560094607,240.21546936035156,11092690,2022,6,13,0
2022-06-14,238.89937235497905,242.75697982237543,238.7631993432192,240.9416351318359,7422193,2022,6,14,1
2022-06-15,241.44084044531567,242.62080339758268,238.76319598445264,239.0808868408203,5059474,2022,6,15,2
2022-06-16,242.34852822635872,243.1654278376909,235.540985298652,236.6302032470703,14293357,2022,6,16,3
2022-06-17,235.08714739330264,239.76165462966335,234.6786837406264,238.99012756347656,16654660,2022,6,17,4
2022-06-20,238.990123561348,241.5769953517309,237.22017906263724,239.71627807617188,17081136,2022,6,20,0
2022-06-21,240.53316974750237,245.8430584687131,239.71627018269183,244.9807586669922,13883034,2022,6,21,1
2022-06-22,242.3485505012452,245.3438585847575,240.44243276629845,240.8054962158203,11320918,2022,6,22,2
2022-06-23,240.98699951171875,242.57542606217265,238.17320979663685,240.98699951171875,9067252,2022,6,23,3
2022-06-24,241.53163612222133,243.5738990640102,240.71473648549855,241.30471801757812,7013132,2022,6,24,4
2022-06-27,242.348509143742,245.66150756769983,241.8946729842968,245.02615356445312,8172964,2022,6,27,0
2022-06-28,244.07305773888152,247.1137652572452,243.75536691756744,246.75070190429688,11240154,2022,6,28,1
2022-06-29,244.3908030226936,249.60991952178543,244.30003023923825,248.74761962890625,16018449,2022,6,29,2
2022-06-30,248.65686148125508,249.3376157714575,246.8868892467436,248.24839782714844,19262054,2022,6,30,3
2022-07-01,248.24839821623232,258.68663068236276,246.16076280299143,258.0966491699219,35165665,2022,7,1,4
2022-07-04,259.27660223405496,266.2202901982512,258.5050751935972,264.9495544433594,39881736,2022,7,4,0
2022-07-05,265.94800076884303,265.94800076884303,259.3673761764399,260.41119384765625,18568655,2022,7,5,1
2022-07-06,259.68509489120385,263.2250119253797,258.9589403072927,262.5896301269531,18292925,2022,7,6,2
2022-07-07,264.13266475153495,266.08415484458635,261.86348378287914,264.9949645996094,13794991,2022,7,7,3
2022-07-08,265.85723236966214,267.26414116703796,263.5880514383745,265.9933776855469,11110418,2022,7,8,4
2022-07-11,265.948021840241,269.53333901670777,265.0857219522409,267.76336669921875,12352667,2022,7,11,0
2022-07-12,265.9480108524549,268.08104651361907,264.04189328928766,265.67572021484375,14074628,2022,7,12,1
2022-07-13,265.94798664927254,267.581785726178,265.6756960364418,266.9010314941406,9277570,2022,7,13,2
2022-07-14,267.1279741313971,268.988719156687,262.45346684828877,263.99652099609375,13414357,2022,7,14,3
2022-07-15,265.0403235414406,266.8556682232313,262.77114268920224,266.44720458984375,11025420,2022,7,15,4
2022-07-18,267.76335389540935,268.9433169173361,266.6287634128017,268.03564453125,11315876,2022,7,18,0
2022-07-19,267.7633319393589,268.30794086634637,265.67569670252783,267.4002685546875,9188419,2022,7,19,1
2022-07-20,267.6726024990858,271.8479013486067,266.49263938290096,270.6679382324219,15789281,2022,7,20,2
2022-07-21,271.39404078424116,274.2986034712817,270.48636840703637,271.89324951171875,16042840,2022,7,21,3
2022-07-22,272.3016946268143,274.5708754153711,270.57712276750334,272.8009033203125,9967545,2022,7,22,4
2022-07-25,271.39402297382696,274.97933970848226,271.21247743031495,273.3001403808594,10640727,2022,7,25,0
2022-07-26,273.20934633963634,275.7054450188191,272.7101376837833,274.5254821777344,9739177,2022,7,26,1
2022-07-27,274.8885794936228,276.8400695256967,272.84631668564634,276.06854248046875,9346146,2022,7,27,2
2022-07-28,276.74930536316475,277.0216236993477,274.48012439478856,275.4331970214844,10839070,2022,7,28,3
2022-07-29,276.8400403530916,277.6569398502072,273.5270421314808,275.070068359375,16932743,2022,7,29,4
